OID,time,cunlan,fabing,death,type,introduce,ENAME,AREA,PERIMETER,NAME,GB1999,POST_,疫情时,疫情类,发生次,牛Otime,类型,Long,Lat
16,20181205,2461,53,26,种猪场,"12月5日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊,北京市顺义区一种猪场排查出非洲猪",shunyixian,1060150200,136071.06,顺义县,110222,101300,2018/12/5,非洲猪瘟疫情,1,20181205,种猪场,116.5597,40.2667
47,20181205,165,68,68,养殖户,"12月5日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 四川省泸州市合江县一养殖户查出?",hejiangxian,2301218600,308074.47,合江县,510522,646200,2018/12/5,非洲猪瘟疫情,1,20181205,养殖户,105.83135,28.81147
70,20181205,245,85,64,养殖户,"12月5日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 四川省泸州市合江县一养殖户、陕西省西安市长安区一养殖",changanxian,1623546400,205494.5,长安区,610121,710100,1905/6/19,非洲猪瘟疫情,1,1997,养殖户,108.9171,34.1623
19,20181202,9835,85,17,养殖场,"12月2日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊,北京市通州区一规模养殖场排查出非",tongxian,900499580,150565.16,通州区,110223,101100,2018/12/2,非洲猪瘟疫情,1,20181202,养殖场,116.6651,39.9171
71,20181202,245,205,79,养殖场,"12月2日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 陕西省西安市鄠邑区一养殖场排查出非洲猪瘟疫情，该养殖",huxian,1252481400,153263.64,鄠邑区,610125,710300,2018/12/2,非洲猪瘟疫情,1,1997,养殖场,108.60494,34.10847
72,20181202,375,0,77,野猪场,"12月2日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 陕西省西安市鄠邑区一养殖场排查出非洲猪瘟疫情，该养殖",haerbinshi,1487490800,187976.08,哈尔滨市农,230101,150000,2018/12/2,非洲猪瘟疫情野猪,1,20181119,野猪场,126.95717,45.54774
43,20181130,159,16,4,养殖场,"11月30日18时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 江西省九江市柴桑区一养殖场排查",jiujiangshi,360790780,88576.88,九江市,360401,332000,2018/11/30,非洲猪瘟疫情,1,20181130,养殖场,115.98999,29.72776
73,20181129,361,0,67,养殖场,"11月29日21时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 天津市宁河区一养殖场排查出非洲猪瘟疫情。截至目前，该",ninghexian,1593323500,198090.83,天津市宁河,120221,301500,2018/11/29,非洲猪瘟疫情,1,1997,养殖场,117.82478,39.33091
41,20181125,63,9,5,养殖户,"11月25日14时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 湖北省黄石市阳新县一养殖户排查",yangxinxian,2572690200,255948.2,阳新县,420222,435200,2018/11/25,非洲猪瘟疫情,1,20181125,养殖户,115.2153,29.83039
15,20181123,88,69,53,养殖场,"11月23日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 内蒙古自治区包头市昆都仑区一养",baotoushi,2283141900,242131.25,包头市,150201,140000,2018/11/23,非洲猪瘟疫情,1,20181123,养殖场,109.97372,41.76943
17,20181123,1325,0,49,养殖场,"11月23日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 北京市房山区青龙湖镇、琉璃河镇?",beijingshi,4846838300,1,北京市房山,110100,100000,2018/11/23,非洲猪瘟疫情,1,20181123,养殖场,116.1485,39.7527
74,20181123,0,0,0,养殖场,"11月23日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 北京市房山区青龙湖镇、琉璃河镇?",beijingshi,4846838300,1,北京市,110100,100000,2018/11/23,非洲猪瘟疫情,1,20181123,养殖场,116.23128,40.22077
75,20181123,429,0,37,养殖场,"11月23日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 北京市房山区青龙湖镇、琉璃河镇?",beijingshi,4846838300,1,"北京市房山5,39.840586",110100,100000,2018/11/23,非洲猪瘟疫情,2,20181123,养殖场,116.19371,39.8405
58,20181120,73,61,55,养殖户,"11月20日19时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊, 湖南省怀化市鹤城区一养殖户排查",huaihuashi,2144281300,271121.72,怀化市,431201,418000,2018/11/20,非洲猪瘟疫情,1,20181120,养殖户,110.04098,27.57771
3,20181119,900,269,269,养殖户,11月19日14时，道外区两个养殖户排查出非洲猪瘟疫情。截至目前，两个养殖户共存栏生猪900头，发病269头，死亡269头。12月2日20时，农业农村部接到中国动物疫病预,haerbinshi,1487490800,187976.08,哈尔滨市,230101,150000,2018/11/19,非洲猪瘟疫情,2,20181119,养殖户,126.95717,45.54774
38,20181117,117,27,13,养殖场,11月17日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，新津县一养殖场排查出非洲猪瘟疫,xinjinxian,356194020,78815.56,新津县,510132,611430,2018/11/17,非洲猪瘟疫情,1,20181117,养殖场,103.81165,30.41026
44,20181117,150,10,10,养殖场,11月17日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，鄱阳县一养殖场、呈贡区一屠宰场,boyangxian,4306416100,354353.91,鄱阳县,362330,333100,2018/11/17,非洲猪瘟疫情,1,20181117,养殖场,116.70343,29.00563
69,20181117,348,348,348,屠宰场,1月17日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，呈贡区一屠宰场排查出非洲猪瘟疫?,chenggongxian,455096610,101491.94,昆明呈贡区,530121,650500,2018/11/17,非洲猪瘟疫情,1,20181117,屠宰场,102.82147,24.88554
76,20181117,314,50,11,养殖户,11月17日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，上海市金山区一生猪养殖户排查出非洲猪瘟疫情。截至目,jinshanxian,554473410,102444.01,上海市金山,310227,201500,2018/11/17,非洲猪瘟疫情,1,1997,养殖户,116.19371,39.8405
10,20181116,1,1,1,养殖场,11月16日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，吉林省白山市浑江区一头病死野猪,linjiangshi,5621452300,440665.25,浑江市,220681,134300,2018/11/16,野猪非洲猪瘟疫情,1,20181116,养殖场,126.417,41.94507
54,20181116,1,1,1,养殖场,11月16日14时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，云南省昭通市威信县一养殖户排查,weixinxian,1528311200,197943.7,威信县,532130,553600,2018/11/16,非洲猪瘟疫情,1,20181116,养殖场,105.04906,27.84685
37,20181115,636,24,13,养殖场,11月15日10时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖北省黄冈市浠水县一养殖场发生,xishuixian,2026134900,220400.06,浠水县,421125,436200,2018/11/15,非洲猪瘟疫情,1,20181115,养殖场,115.26551,30.45184
52,20181115,40,16,10,养殖户,11月15日21时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，四川省宜宾市高县一养殖户发生非,gaoxian,1447681500,203857.84,高县,511525,645150,2018/11/15,非洲猪瘟疫情,1,20181115,养殖户,104.5176,28.43622
39,20181112,147,7,6,养殖户,11月12日21时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖北省武穴市两个相邻养殖户发生,wuxueshi,1428672100,161816.48,武穴市,421182,436400,2018/11/12,非洲猪瘟疫情,1,20181112,养殖户,115.5613,29.84433
36,20181109,8339,96,47,养殖场,11月9日22时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，安徽省青阳县一养殖场排查出非洲?,qingyangxian,1189347300,161070.14,青阳县,342923,242800,2018/11/9,非洲猪瘟疫情,1,20181109,养殖场,117.84749,30.63935
8,20181108,930,144,144,养殖场,11月8日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，吉林省延边朝鲜族自治州龙井市一?,longjingshi,4164866600,416894.78,龙井市,222405,133400,2018/11/8,非洲猪瘟疫情,1,20181108,养殖场,129.42641,42.76587
48,20181108,154,49,49,养殖户,11月8日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊江西省上饶市万年县一养殖户排查出?,wannianxian,1221721200,163573.31,万年县,362331,335500,2018/11/8,非洲猪瘟疫情,1,20181108,养殖户,117.05839,28.69466
55,20181108,9,4,1,养殖户,11月8日11时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖南省娄底市涟源市一养殖户排查?,lianyuanshi,2027056100,236224.89,涟源市,432503,417100,2018/11/8,非洲猪瘟疫情,1,20181108,养殖户,111.66446,27.69271
64,20181108,4521,85,85,养殖场,11月8日16时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，福建省莆田市城厢区一养殖场排查?,putianshi,152148190,63164.54,莆田市,350301,351100,2018/11/8,非洲猪瘟疫情,1,20181108,养殖场,118.99472,25.41878
34,20181107,821,22,4,养殖场,5月19日，湖北省罗田县某养殖户饲养的牛出现疑似口蹄疫症状，发病牛13头，死亡牛3头。11月7日18时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外,luotianxian,2018853100,258822.2,罗田县,421123,436600,2018/11/7,非洲猪瘟疫情,1,20180519,养殖场,115.39927,30.78399
51,20181105,1196,11,4,养殖户,11月5日9时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖南省湘西土家族苗族自治州保靖县,baojingxian,1845631900,225680.34,保靖县,433125,416500,2018/11/5,非洲猪瘟疫情,1,20181105,养殖户,109.66054,28.70001
40,20181104,309,3,3,养殖场,11月4日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，重庆市丰都县兴义镇一养殖场排查出非?,fengduxian,2911320100,263838.06,丰都县,500230,408200,2018/11/4,非洲猪瘟疫情,1,20181104,养殖场,107.73085,29.86352
23,20181030,257,100,54,养殖户,2018年10月30日，山西省太原市阳曲县养殖户存栏生猪210头，发病75头，死亡47头；11月3日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流,yangquxian,2094834300,269782.38,阳曲县,140122,301000,2018/10/30,非洲猪瘟疫情,2,20181103,养殖户,112.67292,38.05828
50,20181030,144,25,22,养殖户,10月30日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，湖南省怀化市沅陵县一养殖户发生,yuanlingxian,5906999800,377373.81,沅陵县,431222,419600,2018/10/30,非洲猪瘟疫情,1,20181030,养殖户,110.39388,28.45277
66,20181030,36,5,1,养殖户,10月30日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，云南省普洱市思茅区一养殖户各发,simaoxian,3828291100,326335.84,思茅县,532701,665000,2018/10/30,非洲猪瘟疫情,1,20181030,养殖户,101.02704,22.80639
46,20181027,7684,106,99,养殖场,"10月22日14时，常德市桃源县,存栏生猪268头、发病208头、死亡31头。。10月27日21时，农业农村部接到中国动物疫病预防控制中心报告，湖南省动物疫病预防控制中心?",taoyuanxian,4382387200,374466.34,桃源县,430725,415700,2018/10/27,非洲猪瘟疫情,2,20181027,养殖场,111.48893,28.90259
57,20181026,49,25,25,养殖场,10月26日16时，农业农村部接到中国动物疫病预防控制中心报告，贵州省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确,bijieshi,3362815500,311730.78,毕节市,522401,551700,2018/10/26,非洲猪瘟疫情,3,20181026,养殖场,105.30504,27.29847
59,20181025,0,0,0,养殖场,10月25日11时，农业农村部接到中国动物疫病预防控制中心报告，贵州省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确,hezhangxian,3038171600,274832.41,赫章县,522428,553200,2018/10/25,非洲猪瘟疫情,1,20181025,养殖场,104.7274,27.12328
53,20181022,546,44,17,养殖场,10月22日14时，农业农村部接到中国动物疫病预防控制中心报告，湖南省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确,taojiangxian,1952150300,226922.36,桃江县,430922,413400,2018/10/22,非洲猪瘟疫情,1,20181022,养殖场,112.15571,28.51819
77,20181022,268,208,310,养殖场,10月22日14时，农业农村部接到中国动物疫病预防控制中心报告，湖南省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲猪瘟。阳性样,taoyuanxian,4382387200,374466.34,桃源县,430725,415700,2018/10/22,非洲猪瘟疫情,1,20181022,养殖场,111.556,28.913
45,20181021,2280,56,56,合作社,10月21日17时，农业农村部接到中国动物疫病预防控制中心报告，浙江省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确,sanmenxian,924990780,216846.92,三门县,331022,317100,2018/10/21,非洲猪瘟疫情,1,20181021,合作社,121.39568,29.10467
56,20181020,804,298,298,养殖场,10月20日20时，云南省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（确诊为非洲猪瘟。阳性样品来自云南省昭通市镇雄县牛场镇一养殖场和母享镇一养,zhenxiongxian,3651915500,295242.28,镇雄县牛场,532128,553500,2018/10/20,非洲猪瘟疫情,1,20181020,养殖场,104.8736,27.4415
78,20181020,353,247,247,合作社,10月20日20时，云南省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（确诊为非洲猪瘟。阳性样品来自云南省昭通市镇雄县牛场镇一养殖场和母享镇一养,zhenxiongxian,3651915500,295242.28,镇雄县母享,532128,553500,2018/10/20,非洲猪瘟疫情,1,20181020,合作社,105.1958,27.567
18,20181017,15,7,40,养殖户,10月17日12时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，山西省大同市左云县一养殖户排查,zuoyunxian,1250708000,173599.7,左云县,140226,371000,2018/10/17,非洲猪瘟疫情,1,20181017,养殖户,112.7123,40.0189
12,20181016,161,43,43,养殖户,10月15日20时，盘锦市大洼区清水镇和王家街道排查出3起非洲猪瘟疫情。盘锦市大洼区清水镇一养殖场存栏生猪4323头，发病1030头，死亡1030头；盘锦市大洼区王家街道一养殖场存栏生猪3223头，发,dawaxian,1099607200,205061.39,大洼县,211121,124200,2018/10/16,非洲猪瘟疫情,1,20181016,养殖户,122.08245,41.00247
9,20181015,6640,50,14,养殖场,10月15日20时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心确诊，辽宁省铁岭市开原市庆云堡镇。铁岭市开原市庆云堡镇一养殖专业,kaiyuanshi,3387430400,334555.16,开原市,211282,112300,2018/10/15,非洲猪瘟疫情,1,20181015,养殖场,124.0382,42.54645
79,20181015,4323,1030,1030,养殖场,10月15日20时，盘锦市大洼区清水镇和王家街道排查出3起非洲猪瘟疫情。盘锦市大洼区清水镇一养殖场存栏生猪4323头，发病1030头，死亡1030头；盘锦市大洼区王家街道一养殖场存栏生猪3223头，发,dawaxian,1099607200,205061.39,大洼县清水,211121,124200,2018/10/15,非洲猪瘟疫情,1,20181015,养殖场,121.98824,41.0477
81,20181015,3323,31,20,养殖户,10月15日20时，盘锦市大洼区清水镇和王家街道排查出3起非洲猪瘟疫情。盘锦市大洼区清水镇一养殖场存栏生猪4323头，发病1030头，死亡1030头；盘锦市大洼区王家街道一养殖场存栏生猪3223头，发,dawaxian,1099607200,205061.39,大洼县王家,211121,124200,2018/10/15,非洲猪瘟疫情,1,20181015,养殖户,122.0725,40.9584
11,20181014,180,14,14,养殖户,10月8日鞍山市台安县一养殖户，该养殖户存栏生猪460头、发病160头、死亡160头。10月12日12时，阳性样品来自鞍山市台安县桑林镇一养殖户，该养殖户存栏生猪180头、发病14头、死亡14头。,taianxian,1422625700,180960.09,台安县桑林,210321,114100,2018/10/14,非洲猪瘟疫情,3,20181014,养殖户,122.43591,41.41269
21,20181012,639,292,189,养殖户,10月12日17时，农业农村部接到中国动物疫病预防控制中心报告，天津市动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲猪瘟。阳性样,tianjinshi,3819039500,358430.28,天津市,120100,300000,2018/10/12,非洲猪瘟疫情,1,20181012,养殖户,117.30983,39.71755
82,20181012,120,88,72,养殖户,10月8日鞍山市台安县一养殖户，该养殖户存栏生猪460头、发病160头、死亡160头。10月12日12时，阳性样品来自鞍山市台安县桑林镇一养殖户，该养殖户存栏生猪180头、发病14头、死亡14头。,taianxian,1422625700,180960.09,台安县新台,210321,114100,2018/10/12,非洲猪瘟疫情,3,20181012,养殖户,122.3515,41.3377
20,20181011,1353,20,11,养殖场,10月11日10时，农业农村部接到中国动物疫病预防控制中心报告，辽宁省动物疫病预防控制中心送检样品经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲猪瘟。阳性样,dalianshi,2402699800,424551.91,大连市,210201,116000,2018/10/11,非洲猪瘟疫情,1,20181011,养殖场,121.5255,38.95223
83,20181008,460,160,160,养殖户,10月8日鞍山市台安县一养殖户，该养殖户存栏生猪460头、发病160头、死亡160头。10月12日12时，阳性样品来自鞍山市台安县桑林镇一养殖户，该养殖户存栏生猪180头、发病14头、死亡14头。,taianxian,1422625700,180960.09,台安县桑林,210321,114100,2018/10/8,非洲猪瘟疫情,3,20181008,养殖户,122.3082,41.4677
13,20181007,3736,334,195,养殖场,10月7日19时，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）检测，辽宁省营口市排查送检样品，检出非洲猪瘟病毒，确诊为生,yingkoushi,1588730800,255265.27,营口市,210882,115000,2018/10/7,非洲猪瘟疫情,11,20181007,养殖场,122.37968,40.68038
5,20180928,44,8,3,养殖户,9月28日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊吉林省松原市长岭县一养殖户发生非洲猪瘟疫情。该养殖户存栏,changlingxian,6190334500,394397.03,长岭县,220722,131500,2018/9/28,非洲猪瘟疫情,1,20180928,养殖户,123.9673,44.27591
14,20180922,388,4,2,屠宰场,9月22日，内蒙古自治区呼和浩特市一屠宰场驻场官方兽医在巡检时发现待宰生猪发病死亡。23日下午，内蒙古自治区动物疫病预防控制中心诊断为疑似非洲猪瘟疫情。24日，农业农村部接到中国,huhehaoteshi,1992558800,195031.73,呼和浩特市,150101,100000,2018/9/22,非洲猪瘟疫情,1,20180922,屠宰场,111.62299,40.80772
1,20180917,138,23,22,养殖户,9月17日，内蒙古自治区畜牧兽医部门在开展非洲猪瘟疫情排查时，发现内蒙古自治区兴安盟科尔沁右翼中旗一养殖户生猪不明原因死亡。9月20日，农业农村部接到中国动物疫病预防控制中心报,keerqinyouyiqianqi,25616925000,1030659.3,科尔沁右翼,152221,294000,2018/9/17,非洲猪瘟疫情,1,20180917,养殖户,122.255676,43.623074
7,20180917,484,56,56,养殖场,9月17日，吉林省公主岭市南崴子镇一养殖场发现生猪出现异常并于9月19日出现不明原因死亡。9月20日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家,gongzhulingshi,4420918800,373052.84,公主岭市,220381,136100,2018/9/17,非洲猪瘟疫情,1,20180917,养殖场,124.8228,43.50468
6,20180915,159,14,8,养殖场,9月15日上午，内蒙古自治区畜牧兽医部门在开展非洲猪瘟疫情排查时，发现锡林郭勒盟正蓝旗一养殖户生猪不明原因死亡。9月17日，农业农村部接到中国动物疫病预防控制中心报告，经中国动,xilinhaoteshi,15214307000,650581.88,锡林浩特市,152502,260000,2018/9/15,非洲猪瘟疫情,1,20180915,养殖场,116.08608,43.93339
4,20180912,16,16,16,养殖户,9月12日，内蒙古自治区畜牧兽医部门在开展非洲猪瘟疫情排查时，发现锡林郭勒盟阿巴嘎旗一养殖户生猪不明原因死亡9月14日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫,abagaqi,27565472000,818833.13,阿巴嘎旗,152522,261000,2018/9/12,非洲猪瘟疫情,1,20180912,养殖户,114.95034,44.02272
26,20180912,0,148,64,养殖场,9月12日，河南省畜牧兽医部门在开展非洲猪瘟疫情排查时，发现新乡市获嘉县一养殖场生猪不明原因死亡。9月14日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病,huojiaxian,488825060,87356.57,获嘉县,410724,453800,2018/9/12,非洲猪瘟疫情,1,20180912,养殖场,113.65716,35.25962
35,20180910,219,63,23,养殖场,9月10日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，安徽省铜陵市义安区一养殖场发生非洲猪瘟疫情，该养殖场存,tonglingshi,125372260,49536.04,铜陵市,340701,244000,2018/9/10,非洲猪瘟疫情,1,20180910,养殖场,117.80103,30.90466
0,20180906,203,26,10,养殖户,9月5日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，黑龙江省佳木斯市郊区长青乡某养殖户发生非洲猪瘟疫情，该养,jiamusishi,937718460,147913.03,佳木斯市,230801,154000,2018/9/6,非洲猪瘟疫情,1,20180906,养殖户,130.40368,46.82252
